Date,Sun,Moon,Mercury,Venus,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto,True Node
04.03.1948,343.33198137,268.06488509,321.55085072,25.05096737,142.24994867,266.26674235,137.39934220,82.11551985,192.36943626,133.11416717,46.43887201
05.03.1948,344.33382994,280.08515977,321.60237676,26.20835467,141.93807686,266.38618486,137.33112226,82.11903687,192.34616753,133.09438555,46.38225737
06.03.1948,345.33522530,291.98455312,321.75613848,27.36331103,141.63650845,266.50322740,137.26395713,82.12344642,192.32260158,133.07485618,46.28362993
07.03.1948,346.33615154,303.83049707,322.00655304,28.51577743,141.34566338,266.61783608,137.19788033,82.12874482,192.29874441,133.05558316,46.14442608
08.03.1948,347.33659259,315.67837215,322.34794067,29.66569258,141.06593051,266.72997860,137.13292591,82.13492924,192.27460346,133.03657169,45.97305512
09.03.1948,348.33653264,327.57116655,322.77468074,30.81299309,140.79766732,266.83962466,137.06912866,82.14199792,192.25018782,133.01782835,45.78331911
10.03.1948,349.33595641,339.54067850,323.28132296,31.95761339,140.54119956,266.94674610,137.00652414,82.14995027,192.22550836,132.99936121,45.59202306
11.03.1948,350.33484933,351.61010725,323.86266305,33.09948562,140.29682100,267.05131709,136.94514868,82.15878692,192.20057778,132.98117979,45.41617598
12.03.1948,351.33319771,3.79773059,324.51379071,34.23853935,140.06479305,267.15331408,136.88503915,82.16850956,192.17541043,132.96329502,45.27022847
13.03.1948,352.33098874,16.12112618,325.23011645,35.37470113,139.84534430,267.25271559,136.82623257,82.17912067,192.15002203,132.94571883,45.16376457
14.03.1948,353.32821025,28.60117976,326.00738263,36.50789378,139.63866984,267.34950162,136.76876530,82.19062274,192.12442891,132.92846346,45.09998353
15.03.1948,354.32485024,41.26500984,326.84166316,37.63803551,139.44493044,267.44365270,136.71267198,82.20301732,192.09864704,132.91154046,45.07519824
16.03.1948,355.32089643,54.14695165,327.72935539,38.76503910,139.26425187,267.53514899,136.65798445,82.21630407,192.07269097,132.89495969,45.07945699
17.03.1948,356.31633610,67.28687278,328.66716707,39.88881141,139.09672475,267.62396945,136.60473088,82.23047993,192.04657302,132.87872847,45.09826169
18.03.1948,357.31115622,80.72529979,329.65210036,41.00925320,138.94240472,267.71009129,136.55293511,82.24553860,192.02030265,132.86285102,45.11519548
19.03.1948,358.30534385,94.49520503,330.68143421,42.12625949,138.80131320,267.79348956,136.50261629,82.26147023,191.99388613,132.84732815,45.11508417
20.03.1948,359.29888732,108.61102448,331.75270662,43.23972078,138.67343919,267.87413737,136.45378924,82.27826187,191.96732679,132.83215754,45.08712851
21.03.1948,0.29177836,123.05672670,332.86369771,44.34952555,138.55874254,267.95200707,136.40646578,82.29589886,191.94062641,132.81733516,45.02731030
22.03.1948,1.28401517,137.77637014,334.01241412,45.45556418,138.45715920,268.02707244,136.36065743,82.31436751,191.91378766,132.80285783,44.93932638
23.03.1948,2.27560539,152.67169171,335.19707393,46.55773319,138.36860759,268.09931126,136.31637843,82.33365806,191.88681700,132.78872613,44.83365267
24.03.1948,3.26656734,167.61033452,336.41609114,47.65593803,138.29299482,268.16870666,136.27364787,82.35376667,191.85972650,132.77494629,44.72493287
25.03.1948,4.25692818,182.44459350,337.66805843,48.75009291,138.23022095,268.23524643,136.23248957,82.37469507,191.83253348,132.76152989,44.62826043
26.03.1948,5.24671930,197.03554335,338.95172891,49.84011732,138.18018065,268.29892013,136.19292974,82.39644792,191.80525791,132.74849117,44.55561213
27.03.1948,6.23597047,211.27462367,340.26599840,50.92593072,138.14276292,268.35971556,136.15499351,82.41902918,191.77791882,132.73584356,44.51329289
